1694924796.123276 client started (29828): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1694924796.123325 on Darwin 22.5.0 Darwin Kernel Version 22.5.0: Thu Jun  8 22:22:20 PDT 2023; root:xnu-8796.121.3~7/RELEASE_ARM64_T6000
1694924796.123359 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1694924796.127755 sending message 105 to peer 0x130008000 (23 bytes)
1694924796.127759 sending message 105 to peer 0x130008000 (61 bytes)
1694924796.127762 sending message 105 to peer 0x130008000 (15 bytes)
1694924796.127766 sending message 105 to peer 0x130008000 (19 bytes)
1694924796.127769 sending message 105 to peer 0x130008000 (27 bytes)
1694924796.127773 sending message 105 to peer 0x130008000 (16 bytes)
1694924796.127777 sending message 105 to peer 0x130008000 (681 bytes)
1694924796.127780 sending message 105 to peer 0x130008000 (32 bytes)
1694924796.127784 sending message 105 to peer 0x130008000 (15 bytes)
1694924796.127788 sending message 105 to peer 0x130008000 (66 bytes)
1694924796.127791 sending message 105 to peer 0x130008000 (21 bytes)
1694924796.127795 sending message 105 to peer 0x130008000 (18 bytes)
1694924796.127798 sending message 105 to peer 0x130008000 (26 bytes)
1694924796.127802 sending message 105 to peer 0x130008000 (60 bytes)
1694924796.127806 sending message 105 to peer 0x130008000 (57 bytes)
1694924796.127809 sending message 105 to peer 0x130008000 (43 bytes)
1694924796.127813 sending message 105 to peer 0x130008000 (13 bytes)
1694924796.127817 sending message 105 to peer 0x130008000 (13 bytes)
1694924796.127820 sending message 105 to peer 0x130008000 (14 bytes)
1694924796.127824 sending message 105 to peer 0x130008000 (19 bytes)
1694924796.127827 sending message 105 to peer 0x130008000 (43 bytes)
1694924796.127838 sending message 105 to peer 0x130008000 (38 bytes)
1694924796.127842 sending message 105 to peer 0x130008000 (8 bytes)
1694924796.127845 sending message 105 to peer 0x130008000 (22 bytes)
1694924796.127849 sending message 105 to peer 0x130008000 (47 bytes)
1694924796.127852 sending message 105 to peer 0x130008000 (30 bytes)
1694924796.127856 sending message 105 to peer 0x130008000 (37 bytes)
1694924796.127860 sending message 105 to peer 0x130008000 (34 bytes)
1694924796.127863 sending message 105 to peer 0x130008000 (87 bytes)
1694924796.127867 sending message 105 to peer 0x130008000 (35 bytes)
1694924796.127871 sending message 105 to peer 0x130008000 (12 bytes)
1694924796.127874 sending message 105 to peer 0x130008000 (22 bytes)
1694924796.127878 sending message 105 to peer 0x130008000 (30 bytes)
1694924796.127881 sending message 105 to peer 0x130008000 (43 bytes)
